Country/Region,Confirmed,Deaths,WHO Region
South Africa,452529,7067,Africa
South Korea,14203,300,Western Pacific
South Sudan,2305,46,Africa
Spain,272421,28432,Europe
Sri Lanka,2805,11,South-East Asia
Sudan,11424,720,Eastern Mediterranean
Suriname,1483,24,Americas
Sweden,79395,5700,Europe
Switzerland,34477,1978,Europe
Syria,674,40,Eastern Mediterranean
Taiwan*,462,7,Western Pacific
Tajikistan,7235,60,Europe
Tanzania,509,21,Africa
Thailand,3297,58,South-East Asia
Timor-Leste,24,0,South-East Asia
Togo,874,18,Africa
Trinidad and Tobago,148,8,Americas
Tunisia,1455,50,Eastern Mediterranean
Turkey,227019,5630,Europe
US,4290259,148011,Americas
Uganda,1128,2,Africa
Ukraine,67096,1636,Europe
United Arab Emirates,59177,345,Eastern Mediterranean
United Kingdom,301708,45844,Europe
Uruguay,1202,35,Americas
Uzbekistan,21209,121,Europe
Venezuela,15988,146,Americas
Vietnam,431,0,Western Pacific
West Bank and Gaza,10621,78,Eastern Mediterranean
Western Sahara,10,1,Africa
Yemen,1691,483,Eastern Mediterranean
Zambia,4552,140,Africa
Zimbabwe,2704,36,Africa
